,stationid,duration,nrides,ndays,lat,lng,popdensity,workdensity,ridesperday
0,3.0,660.0,7653.0,442.0,42.340021,-71.100812,20099.3583992,16692.7539338,17.314479638
1,4.0,538.0,12573.0,419.0,42.345392,-71.069616,18086.2386049,21454.6596629,30.0071599045
2,5.0,541.0,7718.0,419.0,42.341814,-71.090179,19797.9457381,21044.2198776,18.4200477327
3,6.0,600.0,17133.0,435.0,42.361285,-71.06514,18666.6732438,13881.1698776,39.3862068966
4,7.0,600.0,7028.0,403.0,42.353412,-71.044624,16503.835555,9005.82500462,17.4392059553
5,8.0,912.0,5274.0,439.0,42.353334,-71.137313,16280.786425,9477.040112,12.013667426
6,9.0,720.0,12393.0,422.0,42.351313,-71.116174,20584.2307372,12054.4495773,29.3672985782
7,10.0,600.5,12190.0,420.0,42.350075,-71.105884,21684.0133916,16397.7863885,29.0238095238
8,11.0,675.0,10544.0,444.0,42.338629,-71.1065,19313.5558519,13586.9022913,23.7477477477
9,12.0,559.0,8300.0,445.0,42.335911,-71.088496,17855.964344,19837.7576296,18.6516853933
10,13.0,693.25,3149.0,230.0,42.334057,-71.07403,16396.3102229,20282.4923876,13.6913043478
11,14.0,660.0,13359.0,446.0,42.337171,-71.102797,19240.8890143,14968.5638854,29.9529147982
12,15.0,1011.5,3078.0,436.0,42.361667,-71.13802,16188.2126272,9889.42834825,7.05963302752
13,16.0,550.25,26179.0,446.0,42.347433,-71.076163,18865.8571125,23170.8484135,58.697309417
14,17.0,854.5,8152.0,443.0,42.365074,-71.119581,19452.8849776,13116.1563423,18.4018058691
15,18.0,780.0,4897.0,418.0,42.36337,-71.129791,17999.6614767,10260.8328114,11.7153110048
16,19.0,678.0,4630.0,238.0,42.347527,-71.105828,21323.8877177,15526.2001929,19.4537815126
17,20.0,510.0,17610.0,444.0,42.35977,-71.051601,17354.9073959,9071.80060411,39.6621621622
18,21.0,600.0,19038.0,446.0,42.345959,-71.082578,19803.7094394,23086.8065046,42.6860986547
19,22.0,509.0,49288.0,446.0,42.352175,-71.055547,17455.4868895,10780.692947,110.511210762
20,23.0,606.0,8244.0,231.0,42.359677,-71.059364,18107.4372843,10103.6574151,35.6883116883
21,24.0,540.0,11599.0,446.0,42.351821,-71.045461,16536.1748692,9042.98827171,26.0067264574
22,25.0,534.25,14547.0,446.0,42.341332,-71.076847,18010.1952826,22419.369785,32.6165919283
23,26.0,510.0,13633.0,416.0,42.341522,-71.068922,17701.9728123,21210.0973705,32.7716346154
24,27.0,599.0,5632.0,444.0,42.331567,-71.094734,16349.1201413,16178.7527358,12.6846846847
25,29.0,780.0,3694.0,411.0,42.363732,-71.124565,18934.8737483,11195.7955252,8.98783454988
26,30.0,720.0,7556.0,412.0,42.334073,-71.105221,17681.7838633,13296.8763927,18.3398058252
27,31.0,570.0,9565.0,412.0,42.348833,-71.041747,16136.7622046,8822.00454651,23.2160194175
28,32.0,589.25,14902.0,446.0,42.343912,-71.102221,20842.0038705,16747.7826462,33.4125560538
29,33.0,660.0,21647.0,433.0,42.349046,-71.096831,21833.4814483,19457.7027959,49.9930715935
30,34.0,589.75,3886.0,280.0,42.346171,-71.099855,21315.3178644,18163.9051498,13.8785714286
31,35.0,478.5,8059.0,227.0,42.354594,-71.05896,17885.2236201,11957.4250948,35.5022026432
32,36.0,660.0,29532.0,423.0,42.349673,-71.077303,19622.8229219,23005.6092227,69.8156028369
33,37.0,1229.5,808.0,207.0,42.357247,-71.146452,15167.5815912,9143.61186498,3.90338164251
34,38.0,643.0,17692.0,231.0,42.366231,-71.060868,17997.3400751,10710.0989577,76.5887445887
35,39.0,540.0,16519.0,434.0,42.338623,-71.074182,17520.5895715,21451.7057487,38.0622119816
36,40.0,480.0,19812.0,446.0,42.363871,-71.050877,17289.9981707,9188.43043017,44.4215246637
37,41.0,785.5,11299.0,442.0,42.352261,-71.123831,19451.3936542,10918.3332882,25.5633484163
38,42.0,600.0,22112.0,432.0,42.352096,-71.070378,18863.4840415,20437.6043951,51.1851851852
39,43.0,420.0,21279.0,443.0,42.357143,-71.050699,17196.1421197,9188.90907936,48.0338600451
40,44.0,584.0,12793.0,431.0,42.360583,-71.056868,17882.5078491,9575.87943801,29.6821345708
41,45.0,630.0,14180.0,421.0,42.344763,-71.09788,21011.3279981,18906.7044593,33.6817102138
42,46.0,570.0,16436.0,446.0,42.343864,-71.085918,19812.5926288,22284.6890582,36.8520179372
43,47.0,534.0,17931.0,437.0,42.362811,-71.056067,17782.6640575,9598.06856261,41.0320366133
44,48.0,422.0,20312.0,435.0,42.356755,-71.055407,17641.6315545,9575.87943801,46.6942528736
45,49.0,570.0,13575.0,444.0,42.351146,-71.066289,18316.1893631,18755.3203487,30.5743243243
46,50.0,540.0,15977.0,400.0,42.350989,-71.073644,19152.1857408,21840.5998817,39.9425
47,51.0,634.0,3264.0,394.0,42.3348756,-71.0790969,16687.6435652,20910.343411,8.28426395939
48,52.0,660.0,17980.0,435.0,42.348717,-71.085954,20977.1395696,22600.6539613,41.3333333333
49,53.0,541.0,23681.0,435.0,42.350851,-71.089886,21827.0791607,21827.2986204,54.4390804598
50,54.0,660.0,16900.0,411.0,42.354979,-71.063348,18291.1756519,14981.3411214,41.1192214112
51,55.0,540.0,15719.0,410.0,42.347265,-71.088088,20907.7458079,22097.9964181,38.3390243902
52,56.0,671.0,1619.0,163.0,42.3281898,-71.0833545,15336.5264329,18489.8254393,9.93251533742
53,57.0,480.0,12646.0,429.0,42.340799,-71.081572,18353.3855119,22219.0263616,29.4778554779
54,58.0,660.0,17864.0,402.0,42.355596,-71.07278,19756.016243,20636.2016424,44.4378109453
55,59.0,540.0,10290.0,416.0,42.351356,-71.059367,17747.9828025,14141.5317444,24.7355769231
56,60.0,742.5,8648.0,189.0,42.360877,-71.07131,19791.2629173,19007.5239581,45.7566137566
57,61.0,654.75,6138.0,164.0,42.348323,-71.082674,20369.3152727,23134.3767122,37.4268292683
58,62.0,780.0,5199.0,366.0,42.340299,-71.109927,19345.2360969,12043.3977768,14.2049180328
59,63.0,556.25,5149.0,382.0,42.344023,-71.057054,17132.9261266,14964.3697399,13.4790575916
60,64.0,495.0,16471.0,367.0,42.3511,-71.0496,16848.0018847,9358.20107524,44.8801089918
61,65.0,693.5,4409.0,352.0,42.3475,-71.0441,16288.8918259,8941.60540457,12.5255681818
62,66.0,900.0,4426.0,237.0,42.348607,-71.13401,16472.8039424,9092.30368242,18.6751054852
63,67.0,480.0,23370.0,258.0,42.3581,-71.093198,22549.4435524,21676.7447215,90.5813953488
64,68.0,600.0,13936.0,259.0,42.36507,-71.1031,21579.9003272,22719.0971557,53.8069498069
65,69.0,840.0,6356.0,255.0,42.341598,-71.123338,17348.8133926,9675.24689599,24.9254901961
66,70.0,660.0,7016.0,260.0,42.372244,-71.121851,17468.2146745,11783.1072169,26.9846153846
67,71.0,660.0,2935.0,245.0,42.383405,-71.107593,15365.1552949,15639.5054928,11.9795918367
68,72.0,604.0,10415.0,251.0,42.362613,-71.084105,22366.9456617,23520.5533053,41.4940239044
69,73.0,765.5,6504.0,261.0,42.373231,-71.120886,17252.0330195,12056.9483288,24.9195402299
70,74.0,780.0,15547.0,261.0,42.373268,-71.118579,17591.2201525,13128.6818452,59.5670498084
71,75.0,600.0,14412.0,255.0,42.363562,-71.10042,21979.2591578,23252.43369,56.5176470588
72,76.0,600.0,11072.0,262.0,42.366426,-71.105495,21078.8940698,22133.5511836,42.2595419847
73,77.0,900.0,1835.0,252.0,42.386428,-71.096413,14514.017991,17873.3758174,7.28174603175
74,78.0,720.0,4092.0,257.0,42.379637,-71.095319,18115.3109552,20388.1288393,15.9221789883
75,79.0,600.0,5393.0,252.0,42.378551,-71.106541,17621.0367123,19040.3770107,21.4007936508
76,80.0,600.0,15279.0,256.0,42.362429,-71.090188,22735.9051099,23789.3230456,59.68359375
77,81.0,570.0,9283.0,253.0,42.352409,-71.062679,18098.2906063,15934.303798,36.6916996047
78,82.0,1000.0,301.0,39.0,42.333689,-71.120526,15705.2021091,9671.58121659,7.71794871795
79,83.0,960.0,1055.0,218.0,42.325941,-71.065928,14656.4051678,17503.3382094,4.83944954128
80,84.0,780.0,7870.0,252.0,42.366981,-71.076472,20234.4577662,22706.7229105,31.2301587302
81,85.0,757.0,236.0,35.0,42.330825,-71.057007,15575.4647466,15982.7979107,6.74285714286
82,86.0,930.0,3685.0,247.0,42.332799,-71.116205,15871.9321893,10140.0200662,14.9190283401
83,87.0,480.0,5242.0,231.0,42.366621,-71.114214,19885.7472638,16699.3455868,22.6926406926
84,88.0,600.0,8233.0,240.0,42.374035,-71.101427,19446.1020928,10000.0,34.3041666667
85,89.0,600.0,4232.0,232.0,42.379011,-71.119945,15636.1485093,11667.6964524,18.2413793103
86,90.0,772.75,6790.0,234.0,42.3707,-71.07711,19587.5002838,23173.2839272,29.0170940171
87,91.0,600.0,10533.0,238.0,42.366277,-71.09169,21783.0710406,24981.0066702,44.256302521
88,92.0,1500.0,616.0,176.0,42.311819,-71.035705,9856.316135,7549.15556807,3.5
89,93.0,1230.0,774.0,201.0,42.320494,-71.051122,12509.4884758,14150.6430442,3.85074626866
90,94.0,840.0,4927.0,218.0,42.375603,-71.064608,17014.2723455,15452.3416829,22.6009174312
91,95.0,570.0,5518.0,231.0,42.372969,-71.094445,20076.5041336,23608.8991955,23.8874458874
92,96.0,600.0,5920.0,231.0,42.373379,-71.111075,18658.2722953,18077.0077517,25.6277056277
93,97.0,923.0,123.0,14.0,42.369182,-71.117152,19009.0326572,14332.596577,8.78571428571
94,98.0,780.0,8428.0,229.0,42.371848,-71.060292,17331.5869054,11303.0521621,36.8034934498
95,99.0,600.0,9589.0,213.0,42.35892,-71.057629,17913.914267,9739.63407031,45.0187793427
96,100.0,915.0,881.0,196.0,42.328654,-71.084198,15434.0896645,18394.6674333,4.49489795918
97,101.0,660.0,355.0,45.0,42.345733,-71.100694,21278.2983113,17725.1409369,7.88888888889
98,102.0,630.0,5837.0,185.0,42.336437,-71.073089,17086.2346835,20715.4871976,31.5513513514
99,103.0,660.0,11052.0,188.0,42.348762,-71.082383,20411.8167007,23208.4356263,58.7872340426
100,104.0,765.0,1116.0,120.0,42.330716,-71.057044,15542.0782721,15963.0276867,9.3
101,105.0,870.0,471.0,162.0,42.325333,-71.075354,14688.3194163,18251.8733657,2.90740740741
102,106.0,660.0,487.0,40.0,42.335693,-71.045859,15903.311497,10762.6918788,12.175
103,107.0,720.0,237.0,42.0,42.335741,-71.03877,15081.4158578,9407.4942182,5.64285714286
104,108.0,960.0,53.0,35.0,42.320561,-71.06198,13133.4840383,16680.7172108,1.51428571429
105,109.0,840.0,39.0,24.0,42.317225,-71.065421,12550.4184716,16509.7584401,1.625
106,110.0,1080.0,1037.0,186.0,42.356975,-71.145442,15262.8916418,9189.71089795,5.5752688172
107,111.0,660.0,10690.0,215.0,42.366222,-71.059914,17928.1582376,10506.4465441,49.7209302326
108,112.0,480.0,9899.0,210.0,42.355402,-71.058087,17840.4532406,10780.692947,47.1380952381
109,113.0,660.0,15506.0,211.0,42.36069,-71.070884,19702.3126463,18790.5085019,73.4881516588
110,114.0,600.0,15239.0,182.0,42.365942,-71.060515,17989.1456315,10615.8407393,83.7307692308
111,115.0,780.0,3249.0,176.0,42.378338,-71.048927,15381.8138248,10431.6015875,18.4602272727
112,116.0,540.0,1060.0,43.0,42.356052,-71.069849,19246.3386208,19060.67554,24.6511627907
113,117.0,480.0,655.0,42.0,42.358508,-71.052984,17459.3882463,9204.9239592,15.5952380952
114,118.0,870.0,150.0,39.0,42.377022,-71.056605,16046.7794778,11303.0521621,3.84615384615
115,119.0,570.0,299.0,22.0,42.350413,-71.07655,19621.569181,22734.0981761,13.5909090909
116,120.0,1110.0,186.0,42.0,42.309467,-71.115645,10416.8068748,9448.24824344,4.42857142857
117,121.0,870.0,213.0,43.0,42.31309,-71.114175,11301.110816,9521.99131049,4.95348837209
118,122.0,930.0,320.0,43.0,42.320998,-71.110833,13508.061355,10044.4495066,7.44186046512
119,123.0,900.0,99.0,38.0,42.315692,-71.098634,12743.6543541,12354.381488,2.60526315789
120,124.0,780.0,201.0,32.0,42.310579,-71.107341,11478.1244898,10539.4042949,6.28125
121,125.0,735.0,115.0,30.0,42.322913,-71.100164,14266.7381741,12796.7163807,3.83333333333
122,126.0,900.0,2477.0,186.0,42.339335,-71.13493,14340.9489652,8468.795853,13.3172043011
123,127.0,780.0,2434.0,167.0,42.346563,-71.128374,17543.3892114,9440.07242503,14.5748502994
124,128.0,570.0,14095.0,201.0,42.362457,-71.08497,22450.5154365,23536.5264281,70.1243781095
125,129.0,660.0,2674.0,197.0,42.369832,-71.118201,18679.6421942,13633.6635605,13.5736040609
126,130.0,510.0,4178.0,172.0,42.376369,-71.114025,17296.3236876,15089.6496488,24.2906976744
127,131.0,780.0,5201.0,207.0,42.356954,-71.113687,20960.2337334,14478.0705774,25.1256038647
128,132.0,600.0,3887.0,189.0,42.377945,-71.116865,16284.9060877,13154.8897433,20.5661375661
129,133.0,480.0,3533.0,208.0,42.380287,-71.125107,15278.3628734,10113.5485304,16.9855769231
130,134.0,210.0,1398.0,108.0,42.397828,-71.130516,11434.0756139,8949.76107929,12.9444444444
131,135.0,480.0,3261.0,109.0,42.370803,-71.104412,20072.1072375,22248.5528802,29.9174311927
132,136.0,600.0,1696.0,81.0,42.366095,-71.086388,21700.1121,25038.3893152,20.9382716049
133,137.0,600.0,4279.0,120.0,42.387995,-71.119084,13493.0170329,10090.5176487,35.6583333333
134,138.0,720.0,2608.0,206.0,42.385582,-71.113341,14310.5411248,12361.0776576,12.6601941748
135,139.0,690.0,5377.0,212.0,42.396969,-71.123024,11473.532545,9286.70580608,25.3632075472
136,140.0,600.0,1008.0,197.0,42.400146,-71.112708,10594.8541554,8945.99064165,5.11675126904
137,141.0,720.0,1216.0,201.0,42.400877,-71.116772,10549.8365486,8632.47706744,6.04975124378
138,142.0,330.0,883.0,101.0,42.40449,-71.123413,10148.0732016,7954.01911352,8.74257425743
139,143.0,600.0,757.0,100.0,42.39082,-71.10942,12714.5775234,12058.3188486,7.57
140,144.0,180.0,1319.0,100.0,42.402763,-71.126908,10461.2425811,8189.32954724,13.19
141,145.0,795.0,142.0,34.0,42.394002,-71.120406,12054.301916,9786.81178463,4.17647058824
