,id,terminal,station,municipal,lat,lng,status,originpop,originwork,destpop,destwork
0,3,B32006,Colleges of the Fenway,Boston,42.340021,-71.100812,Existing,24733.6322243,21506.9009123,23920.6951128,24609.3246699
1,4,C32000,Tremont St. at Berkeley St.,Boston,42.345392,-71.069616,Existing,21957.3074335,24194.1340774,22173.2505514,23411.1966371
2,5,B32012,Northeastern U / North Parking Lot,Boston,42.341814,-71.090179,Existing,23863.6550239,26998.2609341,23659.917915,25156.7127066
3,6,D32000,Cambridge St. at Joy St.,Boston,42.361285,-71.06514,Existing,17854.9143331,8795.39394884,20926.2978866,22171.1613498
4,7,A32000,Fan Pier,Boston,42.353412,-71.044624,Existing,17618.1487651,6061.11147823,18781.9970472,20298.9528147
5,8,A32001,Union Square - Brighton Ave. at Cambridge St.,Boston,42.353334,-71.137313,Existing,18669.7111728,6566.80030346,20173.8106621,20292.0330916
6,9,A32002,Agganis Arena - 925 Comm Ave.,Boston,42.351313,-71.116174,Existing,30846.7069665,30045.1452978,23070.7732931,24763.5181569
7,10,A32003,B.U. Central - 725 Comm. Ave.,Boston,42.350075,-71.105884,Existing,33743.6644805,48608.0768132,23596.4167093,26377.5736304
8,11,A32004,Longwood Ave / Binney St,Boston,42.338629,-71.1065,Existing,24582.7988262,15450.527927,23802.3170414,23560.1431271
9,12,B32002,Ruggles Station / Columbus Ave.,Boston,42.335911,-71.088496,Existing,23543.7230886,6897.29770403,23284.8314779,22697.046402
10,13,C32002,Boston Medical Center - 721 Mass. Ave.,Boston,42.334057,-71.07403,Removed,21711.090365,11222.5832454,22152.4199379,20611.549289
11,14,B32003,HMS / HSPH - Ave. Louis Pasteur at Longwood Ave.,Boston,42.337171,-71.102797,Existing,23363.9600894,12471.2717958,23771.1170789,23307.4557303
12,15,A32005,Harvard Real Estate - Brighton Mills - 370 Western Ave,Boston,42.361667,-71.13802,Existing,16480.9240425,7570.89930839,19514.9771786,21930.1801892
13,16,C32003,Back Bay / South End Station,Boston,42.347433,-71.076163,Existing,22651.3147785,38160.7018959,22682.6444222,24794.4976159
14,17,A32006,Harvard University Housing - 111 Western Ave. at Soldiers Field Park,Boston,42.365074,-71.119581,Existing,21208.1202143,14792.3040327,21308.0699114,23737.5043453
15,18,A32007,Harvard Real Estate - 219 Western Ave. at North Harvard St.,Boston,42.36337,-71.129791,Existing,18648.4637718,10722.9226899,20555.2684389,22959.3590515
16,19,A32008,Buswell Park,Boston,42.347527,-71.105828,Existing,32014.4078506,43585.2399755,23779.4277769,26129.7882943
17,20,B32004,Aquarium Station - 200 Atlantic Ave.,Boston,42.35977,-71.051601,Existing,17321.3784879,6241.71859239,20049.6227823,21472.949807
18,21,C32007,Prudential Center / Belvidere,Boston,42.345959,-71.082578,Existing,23973.2668981,40272.9065833,23173.2256223,25453.984187
19,22,A32010,South Station - 700 Atlantic Ave.,Boston,42.352175,-71.055547,Existing,17007.7434207,11211.9465082,20544.0621994,22132.0071291
20,23,B32008,Mayor Thomas M. Menino - Government Center,Boston,42.359677,-71.059364,Removed,17760.5123786,7552.71011795,20755.3375695,22175.1317996
21,24,B32007,Seaport Square - Seaport Blvd. at Boston Wharf,Boston,42.351821,-71.045461,Existing,17323.5671556,7015.66678868,18860.6674392,20219.9675687
22,25,A32009,Tremont St / W Newton St,Boston,42.341332,-71.076847,Existing,24489.0199067,21063.7642642,22774.0552701,23479.7681862
23,26,D32002,Washington St. at Waltham St.,Boston,42.341522,-71.068922,Existing,22977.82321,11509.0554316,22048.9651976,22346.0853322
24,27,C32001,Roxbury Crossing Station,Boston,42.331567,-71.094734,Existing,19115.5231424,7849.34593479,23075.4905675,20810.1991526
25,29,A32011,Innovation Lab - 125 Western Ave. at Batten Way,Boston,42.363732,-71.124565,Existing,19697.8933129,12738.5796822,21095.2294515,23458.5376561
26,30,B32013,Brigham Cir / Huntington Ave,Boston,42.334073,-71.105221,Existing,20952.2068035,7865.34148187,23476.2740635,21676.2074492
27,31,B32014,Seaport Hotel,Boston,42.348833,-71.041747,Existing,18067.8950066,6616.26844189,17960.2382305,18764.0484964
28,32,B32015,Landmark Centre,Boston,42.343912,-71.102221,Existing,28696.2231111,35383.9963857,23954.6952488,25766.5905684
29,33,B32010,Kenmore Sq / Comm Ave,Boston,42.349046,-71.096831,Existing,29313.958553,45987.7558978,23628.5996774,26851.033966
30,34,B32009,Overland St at Brookline Ave,Boston,42.346171,-71.099855,Removed,29995.043126,43044.4460544,23871.267107,26414.7606337
31,35,D32004,Summer St. / Arch St.,Boston,42.354594,-71.05896,Removed,17521.9566979,10872.9024845,20938.0500859,22726.0319623
32,36,D32005,Boston Public Library - 700 Boylston St.,Boston,42.349673,-71.077303,Existing,21814.7365781,38558.1856067,22646.091557,25190.5507052
33,37,D32001,New Balance - 38 Guest St.,Boston,42.357247,-71.146452,Removed,14747.5920382,7152.13511583,18323.5444415,19902.0067762
34,38,D32003,TD Garden - Legends Way,Boston,42.366231,-71.060868,Removed,15622.3852286,8634.90364874,20280.3235552,20053.4590137
35,39,C32006,Washington St. at Rutland St.,Boston,42.338623,-71.074182,Existing,24942.640657,9298.6797027,22449.3922292,22233.9715309
36,40,D32006,Lewis Wharf - Atlantic Ave.,Boston,42.363871,-71.050877,Existing,15642.5936595,6575.92203481,19922.7305182,20523.4486192
37,41,A32012,Packard's Corner - Comm. Ave. at Brighton Ave.,Boston,42.352261,-71.123831,Existing,26422.1588404,13377.6232953,22290.4586882,23136.6904029
38,42,D32007,Boylston St. at Arlington St.,Boston,42.352096,-71.070378,Existing,20401.8823949,26969.0793882,22024.9476745,24278.4155868
39,43,D32008,Rowes Wharf - Atlantic Ave,Boston,42.357143,-71.050699,Existing,17755.4641395,6316.75074768,19923.9348693,21584.9104393
40,44,D32009,Faneuil Hall - Union St. at North St.,Boston,42.360583,-71.056868,Existing,17409.2849661,7107.41507466,20523.5909692,21773.9956189
41,45,B32011,Yawkey Way at Boylston St.,Boston,42.344763,-71.09788,Existing,28011.3598448,38252.8477544,23896.7247916,26190.1678812
42,46,B32005,Christian Science Plaza,Boston,42.343864,-71.085918,Existing,24054.0303321,34158.711299,23428.0912823,25381.2822481
43,47,D32010,Cross St. at Hanover St.,Boston,42.362811,-71.056067,Existing,16499.1163204,7192.58899631,20349.5490557,21121.5124646
44,48,D32012,Post Office Square,Boston,42.356755,-71.055407,Existing,17762.6730968,7422.06304341,20510.3905614,22195.6511657
45,49,D32011,Stuart St. at Charles St.,Boston,42.351146,-71.066289,Existing,19541.320583,24195.7758003,21751.0647504,23676.5239976
46,50,D32013,Boylston St / Berkeley St,Boston,42.350989,-71.073644,Existing,21132.1879045,32806.9867392,22320.3193276,24725.2063528
47,51,C32005,Washington St. at Lenox St.,Boston,42.3348756,-71.0790969,Existing,23237.6934022,5715.67752277,22609.2464257,21443.7605542
48,52,B32000,Newbury St / Hereford St,Boston,42.348717,-71.085954,Existing,24704.8613936,43458.1389744,23219.2982695,26223.3552863
49,53,B32016,Beacon St / Mass Ave,Boston,42.350851,-71.089886,Existing,24988.6847759,41632.9542833,23217.8353516,26645.6869861
50,54,D32014,Tremont St / West St,Boston,42.354979,-71.063348,Existing,18189.4981852,13671.3031544,21327.580788,23259.234667
51,55,B32018,Boylston / Mass Ave,Boston,42.347265,-71.088088,Existing,25844.0029547,43672.793206,23425.3528821,26275.7110558
52,56,B32017,Dudley Square,Boston,42.3281898,-71.0833545,Removed,15890.6532566,19772.8624098,22149.1547386,18874.6816696
53,57,C32004,Columbus Ave. at Mass. Ave.,Boston,42.340799,-71.081572,Existing,24313.0009554,21268.9088102,23120.2111796,23948.0563078
54,58,D32017,The Esplanade - Beacon St. at Arlington St.,Boston,42.355596,-71.07278,Existing,19277.0859829,21867.3898058,21872.5583788,24300.6282613
55,59,D32015,Chinatown Gate Plaza - Surface Rd. at Beach St.,Boston,42.351356,-71.059367,Existing,17696.326692,15322.1308249,21033.5550783,22659.6457616
56,60,D32016,Charles Circle - Charles St. at Cambridge St.,Boston,42.360877,-71.07131,Removed,18295.0534665,13042.8598723,21184.5076669,22798.5858255
57,61,C32008,Boylston at Fairfield,Boston,42.348323,-71.082674,Removed,23458.1789335,42544.1329658,23063.6328465,25808.0410118
58,62,B32019,Longwood Ave/Riverway,Boston,42.340299,-71.109927,Existing,25026.5157667,15109.978657,23744.6851772,23694.8271565
59,63,C32009,Dorchester Ave. at Gillette Park,Boston,42.344023,-71.057054,Existing,17376.5524782,15896.7192517,20597.6815014,20968.8468772
60,64,C32010,Congress / Sleeper,Boston,42.3511,-71.0496,Existing,16667.6291475,8995.73307146,19589.0204791,20942.4817511
61,65,D32018,Boston Convention & Exhibition Center,Boston,42.3475,-71.0441,Existing,17635.7384167,8437.34666957,18375.3108644,19031.5123558
62,66,A32017,Allston Green District - Commonwealth Ave & Griggs St,Boston,42.348607,-71.13401,Existing,20632.0176368,6422.22811801,20891.7252195,20002.7519702
63,67,M32006,MIT at Mass Ave / Amherst St,Cambridge,42.3581,-71.093198,Existing,21285.2011873,29977.1236741,22375.8836463,25755.2186751
64,68,M32011,Central Square at Mass Ave / Essex St,Cambridge,42.36507,-71.1031,Existing,25809.2908859,33377.129417,21549.4355769,23951.1439807
65,69,K32001,Coolidge Corner - Beacon St @ Centre St,Brookline,42.341598,-71.123338,Existing,20880.6423846,7370.12013144,22586.2909195,21138.0846686
66,70,M32016,Harvard Kennedy School at Bennett St / Eliot St,Cambridge,42.372244,-71.121851,Existing,21663.1723296,14307.1929622,20146.2105728,22799.2637923
67,71,S32004,Conway Park - Somerville Avenue,Somerville,42.383405,-71.107593,Existing,14200.4567793,13131.2450082,19065.0734894,18053.6335523
68,72,M32003,One Broadway / Kendall Sq at Main St / 3rd St,Cambridge,42.362613,-71.084105,Existing,16169.5977487,23384.8280753,21311.2994934,23375.5535913
69,73,M32017,Harvard Square at Brattle St / Eliot St,Cambridge,42.373231,-71.120886,Existing,21489.5360624,14292.3200723,20067.6216079,22590.4051401
70,74,M32018,Harvard Square at Mass Ave/ Dunster,Cambridge,42.373268,-71.118579,Existing,22035.2325167,15318.678979,20187.1916187,22401.2134613
71,75,M32009,Lafayette Square at Mass Ave / Main St / Columbia St,Cambridge,42.363562,-71.10042,Existing,23558.8330961,30799.6664798,21726.5043905,24361.2593646
72,76,M32012,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,Cambridge,42.366426,-71.105495,Existing,27060.0087989,33685.5520316,21378.323667,23585.9948171
73,77,S32001,Somerville City Hall,Somerville,42.386428,-71.096413,Existing,6076.64146682,33710.2774542,18638.9075402,15179.2392302
74,78,S32002,Union Square - Somerville,Somerville,42.379637,-71.095319,Existing,15954.7892816,31172.4374146,19261.6741421,17306.366277
75,79,S32003,Beacon St at Washington / Kirkland,Somerville,42.378551,-71.106541,Existing,23460.1713633,21990.7073379,19628.5658774,19414.7642955
76,80,M32005,MIT Stata Center at Vassar St / Main St,Cambridge,42.362429,-71.090188,Existing,18829.9282114,26714.9643026,21560.0749199,24055.5400959
77,81,D32019,Boylston St / Washington St,Boston,42.352409,-71.062679,Existing,18316.2565939,17741.7311932,21373.9610635,23213.913967
78,82,K32002,Brookline Town Hall / Library Washington St,Brookline,42.333689,-71.120526,Removed,18099.6998256,7407.6314941,22529.7459722,19174.7958112
79,83,C32011,South Bay Plaza,Boston,42.325941,-71.065928,Existing,13512.1168977,38113.0209021,20784.8598361,17282.2386276
80,84,M32019,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,Cambridge,42.366981,-71.076472,Existing,21791.0163032,25480.50767,20434.6154525,20676.8375664
81,85,C32012,Andrew Station - Dorchester Ave at Humboldt Pl,Boston,42.330825,-71.057007,Removed,13691.4269057,43156.1316373,20009.7991413,17648.021553
82,86,K32003,Brookline Village - Station Street @ MBTA,Brookline,42.332799,-71.116205,Existing,18401.2683844,7021.33243126,22847.9277947,19627.2960559
83,87,M32014,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,Cambridge,42.366621,-71.114214,Existing,23366.493778,19090.456738,21317.0107547,23657.4562887
84,88,M32010,Inman Square at Vellucci Plaza / Hampshire St,Cambridge,42.374035,-71.101427,Existing,28469.3798609,34001.0886162,20133.8691639,20363.6010688
85,89,M32020,Harvard Law School at Mass Ave / Jarvis St,Cambridge,42.379011,-71.119945,Existing,19414.1860145,13308.1488163,19319.0442952,21482.223246
86,90,M32001,Lechmere Station at Cambridge St / First St,Cambridge,42.3707,-71.07711,Existing,25250.9664074,30293.4026182,19921.9272387,18977.236594
87,91,M32002,One Kendall Square at Hampshire St / Portland St,Cambridge,42.366277,-71.09169,Existing,25314.3281248,38191.7057675,20984.179857,22583.7800453
88,92,C32014,University of Massachusetts Boston,Boston,42.311819,-71.035705,Existing,8962.65764457,7972.55155204,15393.984012,11337.308153
89,93,C32013,JFK / UMASS Station,Boston,42.320494,-71.051122,Existing,10782.1107477,32099.3863479,18542.26152,14721.8795593
90,94,D32020,Charlestown - Main St at Austin St,Boston,42.375603,-71.064608,Existing,30453.5135531,7334.71328031,19306.2555959,15930.3331866
91,95,M32007,Cambridge St - at Columbia St / Webster Ave,Cambridge,42.372969,-71.094445,Existing,28878.1130737,34908.4484643,20067.9789116,19922.2117668
92,96,M32013,Cambridge Main Library at Broadway / Trowbridge St,Cambridge,42.373379,-71.111075,Existing,24897.3253472,22447.5150005,20356.0854587,21698.6519574
93,97,M32015,Harvard  University River Houses at DeWolfe St / Cowperthwaite St,Cambridge,42.369182,-71.117152,Removed,23455.4805341,16758.6900037,20843.5194663,23131.6864102
94,98,D32021,Charlestown - Warren St at Chelsea St,Boston,42.371848,-71.060292,Existing,15802.4920131,10048.0419729,19702.1635397,17474.1929659
95,99,B32008,Mayor Thomas M. Menino - Government Center,Boston,42.35892,-71.057629,Existing,17814.3060099,7352.49601828,20662.3505083,22173.7825751
96,100,B32017,Dudley Square,Boston,42.328654,-71.084198,Existing,16284.2671483,17746.0012476,22251.1123531,19112.5983644
97,101,B32020,BIDMC - Brookline at Burlington St,Boston,42.345733,-71.100694,Existing,29957.6479975,42037.7898926,23897.933565,26288.4640646
98,102,C32002,Boston Medical Center -  East Concord at Harrison Ave,Boston,42.336437,-71.073089,Existing,24096.5502805,7169.82145521,22233.5907557,21347.5441216
99,103,C32008,Boylston at Fairfield,Boston,42.348762,-71.082383,Existing,23167.0333887,42239.7015177,23017.89126,25811.4691643
100,104,C32012,Andrew Station - Dorchester Ave at Humboldt Pl,Boston,42.330716,-71.057044,Existing,13630.7899857,43235.2864496,20009.7401828,17626.8662384
101,105,C32015,Mt Pleasant Ave / Dudley Town Common,Boston,42.325333,-71.075354,Existing,14492.2520948,32434.0464759,21388.6244299,17478.8547454
102,106,C32016,West Broadway at Dorchester St,Boston,42.335693,-71.045859,Existing,16481.7498928,27955.2232254,18207.5633103,16718.8528208
103,107,C32017,South Boston Library - 646 East Broadway,Boston,42.335741,-71.03877,Existing,18300.5721409,19000.5305851,16756.2710012,15109.8033377
104,108,C32018,E. Cottage St at Columbia Rd,Boston,42.320561,-71.06198,Existing,12109.2609261,31555.3649891,19986.8240785,15660.1001442
105,109,C32019,Upham's Corner - Ramsey St at Dudley St,Boston,42.317225,-71.065421,Existing,11946.3326656,26185.1207646,19970.2102618,14912.9358428
106,110,D32001,New Balance - Guest St. at Life St.,Boston,42.356975,-71.145442,Existing,14838.2763451,7333.53507572,18520.7828786,19936.984419
107,111,D32003,TD Garden - Causeway at Portal Park #2,Boston,42.366222,-71.059914,Existing,15444.807963,8271.23531183,20256.6908886,20022.3642977
108,112,D32004,Franklin St. / Arch St.,Boston,42.355402,-71.058087,Existing,17566.365973,9380.0586672,20826.9164052,22592.3774265
109,113,D32016,Charles Circle - Charles St. at Cambridge St.,Boston,42.36069,-71.070884,Existing,18369.4425166,12722.4027631,21195.1872457,22825.0677168
110,114,D32022,TD Garden - Causeway at Portal Park #1,Boston,42.365942,-71.060515,Existing,15631.8779982,8382.85618019,20299.8116526,20162.9079426
111,115,D32023,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,Boston,42.378338,-71.048927,Existing,14134.2754517,9314.5842461,19174.2563575,14504.9428275
112,116,D32024,Charles St at Beacon St,Boston,42.356052,-71.069849,Existing,19318.5438976,18196.3493759,21675.5229731,23890.226818
113,117,D32025,Milk St at India St,Boston,42.358508,-71.052984,Existing,17704.7564721,6513.66398084,20215.6977105,21771.4180853
114,118,D32026,Hayes Square at Vine St.,Boston,42.377022,-71.056605,Existing,21599.4851847,7988.4162357,19236.3851003,15103.6672448
115,119,D32027,New Balance Store - Boylston at Dartmouth,Boston,42.350413,-71.07655,Existing,21330.8285318,36488.9021897,22548.1093557,25119.0048576
116,120,E32001,JP Monument - South St at Centre St,Boston,42.309467,-71.115645,Existing,11828.9980227,12323.7783296,19715.5735724,11081.8281667
117,121,E32002,JP Centre - Centre Street at Myrtle Street,Boston,42.31309,-71.114175,Existing,13041.2748441,12858.8632962,20224.4451642,12071.7249885
118,122,E32003,Hyde Square at Barbara St,Boston,42.320998,-71.110833,Existing,13672.6746891,11029.1926871,21491.3466295,15024.3566661
119,123,E32004,Egleston Square at Columbus Ave,Boston,42.315692,-71.098634,Existing,15825.207399,16778.4392425,20509.898846,13339.0551071
120,124,E32005,Green St T,Boston,42.310579,-71.107341,Existing,13703.987436,14128.8580769,19809.0660548,11495.0300609
121,125,E32006,Jackson Square T at Centre St,Boston,42.322913,-71.100164,Existing,15471.1503926,11839.3943355,21814.3869274,16350.5482254
122,126,K32002,Washington Square at Washington St. / Beacon St.,Brookline,42.339335,-71.13493,Existing,16535.9908895,9949.79651783,20580.6151668,17573.9131599
123,127,K32004,JFK Crossing at Harvard St. / Thorndike St.,Brookline,42.346563,-71.128374,Existing,21497.0714169,6218.13723361,21874.7801905,21009.4219625
124,128,M32004,Kendall T at Main St,Cambridge,42.362457,-71.08497,Existing,16313.5533244,23628.9994811,21365.9830776,23528.5215314
125,129,M32015,Harvard University River Houses / Plympton St at Memorial Drive,Cambridge,42.369832,-71.118201,Existing,23149.4173274,16024.7188589,20703.1959955,23031.2353967
126,130,M32021,Harvard University Gund Hall at Quincy St / Kirkland S,Cambridge,42.376369,-71.114025,Existing,22611.1379208,18878.1803855,19896.6448653,21185.8973717
127,131,M32022,Lower Cambridgeport at Magazine St/Riverside Rd,Cambridge,42.356954,-71.113687,Existing,31668.4160668,39817.4195334,22660.124058,25215.1425559
128,132,M32023,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,Cambridge,42.377945,-71.116865,Existing,20909.7575451,15956.8165812,19602.3324805,21203.7015548
129,133,M32024,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,Cambridge,42.380287,-71.125107,Existing,17896.0375879,11365.6659959,18778.9632737,22217.1535282
130,134,M32025,Mass Ave / Linear Park,Cambridge,42.397828,-71.130516,Existing,12458.1905793,8500.9164859,16467.2244983,21586.374901
131,135,M32026,359 Broadway - Broadway at Fayette Street,Cambridge,42.370803,-71.104412,Existing,29036.3606475,35763.6564841,20678.4067995,21947.4563662
132,136,M32027,Biogen Idec - Binney St / Sixth St,Cambridge,42.366095,-71.086388,Existing,22074.9995302,33023.9286686,20826.7766098,22097.5030019
133,137,M32029,Porter Square Station,Cambridge,42.387995,-71.119084,Existing,14471.2603321,10774.0779524,18314.2164492,19614.0390362
134,138,S32005,Wilson Square,Somerville,42.385582,-71.113341,Existing,13112.7125309,14300.178491,18779.8323564,18678.5727947
135,139,S32006,Davis Square,Somerville,42.396969,-71.123024,Existing,13191.4323932,8303.93099715,17316.9530615,19382.6909011
136,140,S32007,Ball Square,Somerville,42.400146,-71.112708,Existing,13104.4729792,7475.11744075,17721.065256,15689.193815
137,141,S32008,Powder House Circle,Somerville,42.400877,-71.116772,Existing,12658.5878494,7552.21027351,17522.8655338,16805.3900725
138,142,S32009,Packard Ave / Powderhouse Blvd,Somerville,42.40449,-71.123413,Existing,11390.9771418,7374.99780998,16915.9464536,18477.6365758
139,143,S32010,Somerville Hospital at Highland Ave / Crocker St,Somerville,42.39082,-71.10942,Existing,9981.30128561,16340.1437185,18366.1977497,16519.1370039
140,144,S32011,Teele Square at 239 Holland St,Somerville,42.402763,-71.126908,Existing,11541.8612447,7718.07001208,16635.5167423,19816.6697986
141,145,S32012,Summer St at Cutter St,Somerville,42.394002,-71.120406,Existing,14081.3759724,8578.02642401,17715.4255459,18985.7954368
