id,lat,lng,municipal,station,status,terminal
3.0,42.340021,-71.100812,Boston,Colleges of the Fenway,Existing,B32006
4.0,42.345392,-71.069616,Boston,Tremont St. at Berkeley St.,Existing,C32000
5.0,42.341814,-71.090179,Boston,Northeastern U / North Parking Lot,Existing,B32012
6.0,42.361285,-71.06514,Boston,Cambridge St. at Joy St.,Existing,D32000
7.0,42.353412,-71.044624,Boston,Fan Pier,Existing,A32000
8.0,42.353334,-71.137313,Boston,Union Square - Brighton Ave. at Cambridge St.,Existing,A32001
9.0,42.351313,-71.116174,Boston,Agganis Arena - 925 Comm Ave.,Existing,A32002
10.0,42.350075,-71.105884,Boston,B.U. Central - 725 Comm. Ave.,Existing,A32003
11.0,42.338629,-71.1065,Boston,Longwood Ave / Binney St,Existing,A32004
12.0,42.335911,-71.088496,Boston,Ruggles Station / Columbus Ave.,Existing,B32002
13.0,42.334057,-71.07403,Boston,Boston Medical Center - 721 Mass. Ave.,Removed,C32002
14.0,42.337171,-71.102797,Boston,HMS / HSPH - Ave. Louis Pasteur at Longwood Ave.,Existing,B32003
15.0,42.361667,-71.13802,Boston,Harvard Real Estate - Brighton Mills - 370 Western Ave,Existing,A32005
16.0,42.347433,-71.076163,Boston,Back Bay / South End Station,Existing,C32003
17.0,42.365074,-71.119581,Boston,Harvard University Housing - 111 Western Ave. at Soldiers Field Park,Existing,A32006
18.0,42.36337,-71.129791,Boston,Harvard Real Estate - 219 Western Ave. at North Harvard St.,Existing,A32007
19.0,42.347527,-71.105828,Boston,Buswell Park,Existing,A32008
20.0,42.35977,-71.051601,Boston,Aquarium Station - 200 Atlantic Ave.,Existing,B32004
21.0,42.345959,-71.082578,Boston,Prudential Center / Belvidere,Existing,C32007
22.0,42.352175,-71.055547,Boston,South Station - 700 Atlantic Ave.,Existing,A32010
23.0,42.359677,-71.059364,Boston,Mayor Thomas M. Menino - Government Center,Removed,B32008
24.0,42.351821,-71.045461,Boston,Seaport Square - Seaport Blvd. at Boston Wharf,Existing,B32007
25.0,42.341332,-71.076847,Boston,Tremont St / W Newton St,Existing,A32009
26.0,42.341522,-71.068922,Boston,Washington St. at Waltham St.,Existing,D32002
27.0,42.331567,-71.094734,Boston,Roxbury Crossing Station,Existing,C32001
29.0,42.363732,-71.124565,Boston,Innovation Lab - 125 Western Ave. at Batten Way,Existing,A32011
30.0,42.334073,-71.105221,Boston,Brigham Cir / Huntington Ave,Existing,B32013
31.0,42.348833,-71.041747,Boston,Seaport Hotel,Existing,B32014
32.0,42.343912,-71.102221,Boston,Landmark Centre,Existing,B32015
33.0,42.349046,-71.096831,Boston,Kenmore Sq / Comm Ave,Existing,B32010
34.0,42.346171,-71.099855,Boston,Overland St at Brookline Ave,Removed,B32009
35.0,42.354594,-71.05896,Boston,Summer St. / Arch St.,Removed,D32004
36.0,42.349673,-71.077303,Boston,Boston Public Library - 700 Boylston St.,Existing,D32005
37.0,42.357247,-71.146452,Boston,New Balance - 38 Guest St.,Removed,D32001
38.0,42.366231,-71.060868,Boston,TD Garden - Legends Way,Removed,D32003
39.0,42.338623,-71.074182,Boston,Washington St. at Rutland St.,Existing,C32006
40.0,42.363871,-71.050877,Boston,Lewis Wharf - Atlantic Ave.,Existing,D32006
41.0,42.352261,-71.123831,Boston,Packard's Corner - Comm. Ave. at Brighton Ave.,Existing,A32012
42.0,42.352096,-71.070378,Boston,Boylston St. at Arlington St.,Existing,D32007
43.0,42.357143,-71.050699,Boston,Rowes Wharf - Atlantic Ave,Existing,D32008
44.0,42.360583,-71.056868,Boston,Faneuil Hall - Union St. at North St.,Existing,D32009
45.0,42.344763,-71.09788,Boston,Yawkey Way at Boylston St.,Existing,B32011
46.0,42.343864,-71.085918,Boston,Christian Science Plaza,Existing,B32005
47.0,42.362811,-71.056067,Boston,Cross St. at Hanover St.,Existing,D32010
48.0,42.356755,-71.055407,Boston,Post Office Square,Existing,D32012
49.0,42.351146,-71.066289,Boston,Stuart St. at Charles St.,Existing,D32011
50.0,42.350989,-71.073644,Boston,Boylston St / Berkeley St,Existing,D32013
51.0,42.3348756,-71.0790969,Boston,Washington St. at Lenox St.,Existing,C32005
52.0,42.348717,-71.085954,Boston,Newbury St / Hereford St,Existing,B32000
53.0,42.350851,-71.089886,Boston,Beacon St / Mass Ave,Existing,B32016
54.0,42.354979,-71.063348,Boston,Tremont St / West St,Existing,D32014
55.0,42.347265,-71.088088,Boston,Boylston / Mass Ave,Existing,B32018
56.0,42.3281898,-71.0833545,Boston,Dudley Square,Removed,B32017
57.0,42.340799,-71.081572,Boston,Columbus Ave. at Mass. Ave.,Existing,C32004
58.0,42.355596,-71.07278,Boston,The Esplanade - Beacon St. at Arlington St.,Existing,D32017
59.0,42.351356,-71.059367,Boston,Chinatown Gate Plaza - Surface Rd. at Beach St.,Existing,D32015
60.0,42.360877,-71.07131,Boston,Charles Circle - Charles St. at Cambridge St.,Removed,D32016
61.0,42.348323,-71.082674,Boston,Boylston at Fairfield,Removed,C32008
62.0,42.340299,-71.109927,Boston,Longwood Ave/Riverway,Existing,B32019
63.0,42.344023,-71.057054,Boston,Dorchester Ave. at Gillette Park,Existing,C32009
64.0,42.3511,-71.0496,Boston,Congress / Sleeper,Existing,C32010
65.0,42.3475,-71.0441,Boston,Boston Convention & Exhibition Center,Existing,D32018
66.0,42.348607,-71.13401,Boston,Allston Green District - Commonwealth Ave & Griggs St,Existing,A32017
67.0,42.3581,-71.093198,Cambridge,MIT at Mass Ave / Amherst St,Existing,M32006
68.0,42.36507,-71.1031,Cambridge,Central Square at Mass Ave / Essex St,Existing,M32011
69.0,42.341598,-71.123338,Brookline,Coolidge Corner - Beacon St @ Centre St,Existing,K32001
70.0,42.372244,-71.121851,Cambridge,Harvard Kennedy School at Bennett St / Eliot St,Existing,M32016
71.0,42.383405,-71.107593,Somerville,Conway Park - Somerville Avenue,Existing,S32004
72.0,42.362613,-71.084105,Cambridge,One Broadway / Kendall Sq at Main St / 3rd St,Existing,M32003
73.0,42.373231,-71.120886,Cambridge,Harvard Square at Brattle St / Eliot St,Existing,M32017
74.0,42.373268,-71.118579,Cambridge,Harvard Square at Mass Ave/ Dunster,Existing,M32018
75.0,42.363562,-71.10042,Cambridge,Lafayette Square at Mass Ave / Main St / Columbia St,Existing,M32009
76.0,42.366426,-71.105495,Cambridge,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,Existing,M32012
77.0,42.386428,-71.096413,Somerville,Somerville City Hall,Existing,S32001
78.0,42.379637,-71.095319,Somerville,Union Square - Somerville,Existing,S32002
79.0,42.378551,-71.106541,Somerville,Beacon St at Washington / Kirkland,Existing,S32003
80.0,42.362429,-71.090188,Cambridge,MIT Stata Center at Vassar St / Main St,Existing,M32005
81.0,42.352409,-71.062679,Boston,Boylston St / Washington St,Existing,D32019
82.0,42.333689,-71.120526,Brookline,Brookline Town Hall / Library Washington St,Removed,K32002
83.0,42.325941,-71.065928,Boston,South Bay Plaza,Existing,C32011
84.0,42.366981,-71.076472,Cambridge,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,Existing,M32019
85.0,42.330825,-71.057007,Boston,Andrew Station - Dorchester Ave at Humboldt Pl,Removed,C32012
86.0,42.332799,-71.116205,Brookline,Brookline Village - Station Street @ MBTA,Existing,K32003
87.0,42.366621,-71.114214,Cambridge,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,Existing,M32014
88.0,42.374035,-71.101427,Cambridge,Inman Square at Vellucci Plaza / Hampshire St,Existing,M32010
89.0,42.379011,-71.119945,Cambridge,Harvard Law School at Mass Ave / Jarvis St,Existing,M32020
90.0,42.3707,-71.07711,Cambridge,Lechmere Station at Cambridge St / First St,Existing,M32001
91.0,42.366277,-71.09169,Cambridge,One Kendall Square at Hampshire St / Portland St,Existing,M32002
92.0,42.311819,-71.035705,Boston,University of Massachusetts Boston,Existing,C32014
93.0,42.320494,-71.051122,Boston,JFK / UMASS Station,Existing,C32013
94.0,42.375603,-71.064608,Boston,Charlestown - Main St at Austin St,Existing,D32020
95.0,42.372969,-71.094445,Cambridge,Cambridge St - at Columbia St / Webster Ave,Existing,M32007
96.0,42.373379,-71.111075,Cambridge,Cambridge Main Library at Broadway / Trowbridge St,Existing,M32013
97.0,42.369182,-71.117152,Cambridge,Harvard  University River Houses at DeWolfe St / Cowperthwaite St,Removed,M32015
98.0,42.371848,-71.060292,Boston,Charlestown - Warren St at Chelsea St,Existing,D32021
99.0,42.35892,-71.057629,Boston,Mayor Thomas M. Menino - Government Center,Existing,B32008
100.0,42.328654,-71.084198,Boston,Dudley Square,Existing,B32017
101.0,42.345733,-71.100694,Boston,BIDMC - Brookline at Burlington St,Existing,B32020
102.0,42.336437,-71.073089,Boston,Boston Medical Center -  East Concord at Harrison Ave,Existing,C32002
103.0,42.348762,-71.082383,Boston,Boylston at Fairfield,Existing,C32008
104.0,42.330716,-71.057044,Boston,Andrew Station - Dorchester Ave at Humboldt Pl,Existing,C32012
105.0,42.325333,-71.075354,Boston,Mt Pleasant Ave / Dudley Town Common,Existing,C32015
106.0,42.335693,-71.045859,Boston,West Broadway at Dorchester St,Existing,C32016
107.0,42.335741,-71.03877,Boston,South Boston Library - 646 East Broadway,Existing,C32017
108.0,42.320561,-71.06198,Boston,E. Cottage St at Columbia Rd,Existing,C32018
109.0,42.317225,-71.065421,Boston,Upham's Corner - Ramsey St at Dudley St,Existing,C32019
110.0,42.356975,-71.145442,Boston,New Balance - Guest St. at Life St.,Existing,D32001
111.0,42.366222,-71.059914,Boston,TD Garden - Causeway at Portal Park #2,Existing,D32003
112.0,42.355402,-71.058087,Boston,Franklin St. / Arch St.,Existing,D32004
113.0,42.36069,-71.070884,Boston,Charles Circle - Charles St. at Cambridge St.,Existing,D32016
114.0,42.365942,-71.060515,Boston,TD Garden - Causeway at Portal Park #1,Existing,D32022
115.0,42.378338,-71.048927,Boston,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,Existing,D32023
116.0,42.356052,-71.069849,Boston,Charles St at Beacon St,Existing,D32024
117.0,42.358508,-71.052984,Boston,Milk St at India St,Existing,D32025
118.0,42.377022,-71.056605,Boston,Hayes Square at Vine St.,Existing,D32026
119.0,42.350413,-71.07655,Boston,New Balance Store - Boylston at Dartmouth,Existing,D32027
120.0,42.309467,-71.115645,Boston,JP Monument - South St at Centre St,Existing,E32001
121.0,42.31309,-71.114175,Boston,JP Centre - Centre Street at Myrtle Street,Existing,E32002
122.0,42.320998,-71.110833,Boston,Hyde Square at Barbara St,Existing,E32003
123.0,42.315692,-71.098634,Boston,Egleston Square at Columbus Ave,Existing,E32004
124.0,42.310579,-71.107341,Boston,Green St T,Existing,E32005
125.0,42.322913,-71.100164,Boston,Jackson Square T at Centre St,Existing,E32006
126.0,42.339335,-71.13493,Brookline,Washington Square at Washington St. / Beacon St.,Existing,K32002
127.0,42.346563,-71.128374,Brookline,JFK Crossing at Harvard St. / Thorndike St.,Existing,K32004
128.0,42.362457,-71.08497,Cambridge,Kendall T at Main St,Existing,M32004
129.0,42.369832,-71.118201,Cambridge,Harvard University River Houses / Plympton St at Memorial Drive,Existing,M32015
130.0,42.376369,-71.114025,Cambridge,Harvard University Gund Hall at Quincy St / Kirkland S,Existing,M32021
131.0,42.356954,-71.113687,Cambridge,Lower Cambridgeport at Magazine St/Riverside Rd,Existing,M32022
132.0,42.377945,-71.116865,Cambridge,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,Existing,M32023
133.0,42.380287,-71.125107,Cambridge,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,Existing,M32024
134.0,42.397828,-71.130516,Cambridge,Mass Ave / Linear Park,Existing,M32025
135.0,42.370803,-71.104412,Cambridge,359 Broadway - Broadway at Fayette Street,Existing,M32026
136.0,42.366095,-71.086388,Cambridge,Biogen Idec - Binney St / Sixth St,Existing,M32027
137.0,42.387995,-71.119084,Cambridge,Porter Square Station,Existing,M32029
138.0,42.385582,-71.113341,Somerville,Wilson Square,Existing,S32005
139.0,42.396969,-71.123024,Somerville,Davis Square,Existing,S32006
140.0,42.400146,-71.112708,Somerville,Ball Square,Existing,S32007
141.0,42.400877,-71.116772,Somerville,Powder House Circle,Existing,S32008
142.0,42.40449,-71.123413,Somerville,Packard Ave / Powderhouse Blvd,Existing,S32009
143.0,42.39082,-71.10942,Somerville,Somerville Hospital at Highland Ave / Crocker St,Existing,S32010
144.0,42.402763,-71.126908,Somerville,Teele Square at 239 Holland St,Existing,S32011
145.0,42.394002,-71.120406,Somerville,Summer St at Cutter St,Existing,S32012
,42.3564646465,-71.0818181818,,,proposed,
,42.3621212121,-71.0775757576,,,proposed,
