,stationid,terminal,station,municipal,lat,lng,status,popdensity,empdensity
0,3,B32006,Colleges of the Fenway,Boston,42.340021,-71.100812,Existing,20099.3583992,16692.753933757544
1,4,C32000,Tremont St. at Berkeley St.,Boston,42.345392,-71.069616,Existing,18086.2386049,21454.659662862308
2,5,B32012,Northeastern U / North Parking Lot,Boston,42.341814,-71.090179,Existing,19797.9457381,21044.219877649099
3,6,D32000,Cambridge St. at Joy St.,Boston,42.361285,-71.06514,Existing,18666.6732438,13881.169877648354
4,7,A32000,Fan Pier,Boston,42.353412,-71.044624,Existing,16503.835555,9005.8250046214089
5,8,A32001,Union Square - Brighton Ave. at Cambridge St.,Boston,42.353334,-71.137313,Existing,16280.786425,9477.040112003684
6,9,A32002,Agganis Arena - 925 Comm Ave.,Boston,42.351313,-71.116174,Existing,20584.2307372,12054.449577254825
7,10,A32003,B.U. Central - 725 Comm. Ave.,Boston,42.350075,-71.105884,Existing,21684.0133916,16397.786388501525
8,11,A32004,Longwood Ave / Binney St,Boston,42.338629,-71.1065,Existing,19313.5558519,13586.902291264385
9,12,B32002,Ruggles Station / Columbus Ave.,Boston,42.335911,-71.088496,Existing,17855.964344,19837.757629573345
10,13,C32002,Boston Medical Center - 721 Mass. Ave.,Boston,42.334057,-71.07403,Removed,16396.3102229,20282.492387592793
11,14,B32003,HMS / HSPH - Ave. Louis Pasteur at Longwood Ave.,Boston,42.337171,-71.102797,Existing,19240.8890143,14968.563885415206
12,15,A32005,Harvard Real Estate - Brighton Mills - 370 Western Ave,Boston,42.361667,-71.13802,Existing,16188.2126272,9889.4283482544124
13,16,C32003,Back Bay / South End Station,Boston,42.347433,-71.076163,Existing,18865.8571125,23170.848413506523
14,17,A32006,Harvard University Housing - 111 Western Ave. at Soldiers Field Park,Boston,42.365074,-71.119581,Existing,19452.8849776,13116.156342274742
15,18,A32007,Harvard Real Estate - 219 Western Ave. at North Harvard St.,Boston,42.36337,-71.129791,Existing,17999.6614767,10260.832811400294
16,19,A32008,Buswell Park,Boston,42.347527,-71.105828,Existing,21323.8877177,15526.200192932039
17,20,B32004,Aquarium Station - 200 Atlantic Ave.,Boston,42.35977,-71.051601,Existing,17354.9073959,9071.8006041124463
18,21,C32007,Prudential Center / Belvidere,Boston,42.345959,-71.082578,Existing,19803.7094394,23086.806504555047
19,22,A32010,South Station - 700 Atlantic Ave.,Boston,42.352175,-71.055547,Existing,17455.4868895,10780.692946960218
20,23,B32008,Mayor Thomas M. Menino - Government Center,Boston,42.359677,-71.059364,Removed,18107.4372843,10103.657415124122
21,24,B32007,Seaport Square - Seaport Blvd. at Boston Wharf,Boston,42.351821,-71.045461,Existing,16536.1748692,9042.9882717099972
22,25,A32009,Tremont St / W Newton St,Boston,42.341332,-71.076847,Existing,18010.1952826,22419.369785010815
23,26,D32002,Washington St. at Waltham St.,Boston,42.341522,-71.068922,Existing,17701.9728123,21210.097370497882
24,27,C32001,Roxbury Crossing Station,Boston,42.331567,-71.094734,Existing,16349.1201413,16178.752735840157
25,29,A32011,Innovation Lab - 125 Western Ave. at Batten Way,Boston,42.363732,-71.124565,Existing,18934.8737483,11195.795525241643
26,30,B32013,Brigham Cir / Huntington Ave,Boston,42.334073,-71.105221,Existing,17681.7838633,13296.876392662525
27,31,B32014,Seaport Hotel,Boston,42.348833,-71.041747,Existing,16136.7622046,8822.0045465147123
28,32,B32015,Landmark Centre,Boston,42.343912,-71.102221,Existing,20842.0038705,16747.782646231353
29,33,B32010,Kenmore Sq / Comm Ave,Boston,42.349046,-71.096831,Existing,21833.4814483,19457.702795937657
30,34,B32009,Overland St at Brookline Ave,Boston,42.346171,-71.099855,Removed,21315.3178644,18163.905149804428
31,35,D32004,Summer St. / Arch St.,Boston,42.354594,-71.05896,Removed,17885.2236201,11957.425094813108
32,36,D32005,Boston Public Library - 700 Boylston St.,Boston,42.349673,-71.077303,Existing,19622.8229219,23005.609222739935
33,37,D32001,New Balance - 38 Guest St.,Boston,42.357247,-71.146452,Removed,15167.5815912,9143.6118649831042
34,38,D32003,TD Garden - Legends Way,Boston,42.366231,-71.060868,Removed,17997.3400751,10710.098957654554
35,39,C32006,Washington St. at Rutland St.,Boston,42.338623,-71.074182,Existing,17520.5895715,21451.705748672131
36,40,D32006,Lewis Wharf - Atlantic Ave.,Boston,42.363871,-71.050877,Existing,17289.9981707,9188.430430168286
37,41,A32012,Packard's Corner - Comm. Ave. at Brighton Ave.,Boston,42.352261,-71.123831,Existing,19451.3936542,10918.333288244903
38,42,D32007,Boylston St. at Arlington St.,Boston,42.352096,-71.070378,Existing,18863.4840415,20437.604395061731
39,43,D32008,Rowes Wharf - Atlantic Ave,Boston,42.357143,-71.050699,Existing,17196.1421197,9188.909079358913
40,44,D32009,Faneuil Hall - Union St. at North St.,Boston,42.360583,-71.056868,Existing,17882.5078491,9575.8794380063191
41,45,B32011,Yawkey Way at Boylston St.,Boston,42.344763,-71.09788,Existing,21011.3279981,18906.70445927605
42,46,B32005,Christian Science Plaza,Boston,42.343864,-71.085918,Existing,19812.5926288,22284.689058193937
43,47,D32010,Cross St. at Hanover St.,Boston,42.362811,-71.056067,Existing,17782.6640575,9598.0685626082122
44,48,D32012,Post Office Square,Boston,42.356755,-71.055407,Existing,17641.6315545,9575.8794380063191
45,49,D32011,Stuart St. at Charles St.,Boston,42.351146,-71.066289,Existing,18316.1893631,18755.320348650217
46,50,D32013,Boylston St / Berkeley St,Boston,42.350989,-71.073644,Existing,19152.1857408,21840.599881723523
47,51,C32005,Washington St. at Lenox St.,Boston,42.3348756,-71.0790969,Existing,16687.6435652,20910.343410983682
48,52,B32000,Newbury St / Hereford St,Boston,42.348717,-71.085954,Existing,20977.1395696,22600.65396130085
49,53,B32016,Beacon St / Mass Ave,Boston,42.350851,-71.089886,Existing,21827.0791607,21827.298620380461
50,54,D32014,Tremont St / West St,Boston,42.354979,-71.063348,Existing,18291.1756519,14981.341121420264
51,55,B32018,Boylston / Mass Ave,Boston,42.347265,-71.088088,Existing,20907.7458079,22097.996418118477
52,56,B32017,Dudley Square,Boston,42.3281898,-71.0833545,Removed,15336.5264329,18489.825439296663
53,57,C32004,Columbus Ave. at Mass. Ave.,Boston,42.340799,-71.081572,Existing,18353.3855119,22219.026361554861
54,58,D32017,The Esplanade - Beacon St. at Arlington St.,Boston,42.355596,-71.07278,Existing,19756.016243,20636.201642401516
55,59,D32015,Chinatown Gate Plaza - Surface Rd. at Beach St.,Boston,42.351356,-71.059367,Existing,17747.9828025,14141.53174440749
56,60,D32016,Charles Circle - Charles St. at Cambridge St.,Boston,42.360877,-71.07131,Removed,19791.2629173,19007.523958086967
57,61,C32008,Boylston at Fairfield,Boston,42.348323,-71.082674,Removed,20369.3152727,23134.376712173223
58,62,B32019,Longwood Ave/Riverway,Boston,42.340299,-71.109927,Existing,19345.2360969,12043.397776815691
59,63,C32009,Dorchester Ave. at Gillette Park,Boston,42.344023,-71.057054,Existing,17132.9261266,14964.369739890099
60,64,C32010,Congress / Sleeper,Boston,42.3511,-71.0496,Existing,16848.0018847,9358.2010752372444
61,65,D32018,Boston Convention & Exhibition Center,Boston,42.3475,-71.0441,Existing,16288.8918259,8941.6054045725614
62,66,A32017,Allston Green District - Commonwealth Ave & Griggs St,Boston,42.348607,-71.13401,Existing,16472.8039424,9092.3036824222654
63,67,M32006,MIT at Mass Ave / Amherst St,Cambridge,42.3581,-71.093198,Existing,22549.4435524,21676.744721502066
64,68,M32011,Central Square at Mass Ave / Essex St,Cambridge,42.36507,-71.1031,Existing,21579.9003272,22719.097155749798
65,69,K32001,Coolidge Corner - Beacon St @ Centre St,Brookline,42.341598,-71.123338,Existing,17348.8133926,9675.2468959875405
66,70,M32016,Harvard Kennedy School at Bennett St / Eliot St,Cambridge,42.372244,-71.121851,Existing,17468.2146745,11783.107216864824
67,71,S32004,Conway Park - Somerville Avenue,Somerville,42.383405,-71.107593,Existing,15365.1552949,15639.505492811673
68,72,M32003,One Broadway / Kendall Sq at Main St / 3rd St,Cambridge,42.362613,-71.084105,Existing,22366.9456617,23520.553305283189
69,73,M32017,Harvard Square at Brattle St / Eliot St,Cambridge,42.373231,-71.120886,Existing,17252.0330195,12056.948328848579
70,74,M32018,Harvard Square at Mass Ave/ Dunster,Cambridge,42.373268,-71.118579,Existing,17591.2201525,13128.681845247746
71,75,M32009,Lafayette Square at Mass Ave / Main St / Columbia St,Cambridge,42.363562,-71.10042,Existing,21979.2591578,23252.433690033853
72,76,M32012,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,Cambridge,42.366426,-71.105495,Existing,21078.8940698,22133.551183626056
73,77,S32001,Somerville City Hall,Somerville,42.386428,-71.096413,Existing,14514.017991,17873.375817447901
74,78,S32002,Union Square - Somerville,Somerville,42.379637,-71.095319,Existing,18115.3109552,20388.12883926928
75,79,S32003,Beacon St at Washington / Kirkland,Somerville,42.378551,-71.106541,Existing,17621.0367123,19040.377010691911
76,80,M32005,MIT Stata Center at Vassar St / Main St,Cambridge,42.362429,-71.090188,Existing,22735.9051099,23789.323045581579
77,81,D32019,Boylston St / Washington St,Boston,42.352409,-71.062679,Existing,18098.2906063,15934.303797962144
78,82,K32002,Brookline Town Hall / Library Washington St,Brookline,42.333689,-71.120526,Removed,15705.2021091,9671.5812165923417
79,83,C32011,South Bay Plaza,Boston,42.325941,-71.065928,Existing,14656.4051678,17503.338209420443
80,84,M32019,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,Cambridge,42.366981,-71.076472,Existing,20234.4577662,22706.722910493612
81,85,C32012,Andrew Station - Dorchester Ave at Humboldt Pl,Boston,42.330825,-71.057007,Removed,15575.4647466,15982.797910749912
82,86,K32003,Brookline Village - Station Street @ MBTA,Brookline,42.332799,-71.116205,Existing,15871.9321893,10140.020066245459
83,87,M32014,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,Cambridge,42.366621,-71.114214,Existing,19885.7472638,16699.345586784184
84,88,M32010,Inman Square at Vellucci Plaza / Hampshire St,Cambridge,42.374035,-71.101427,Existing,19446.1020928,--
85,89,M32020,Harvard Law School at Mass Ave / Jarvis St,Cambridge,42.379011,-71.119945,Existing,15636.1485093,11667.696452378528
86,90,M32001,Lechmere Station at Cambridge St / First St,Cambridge,42.3707,-71.07711,Existing,19587.5002838,23173.283927161247
87,91,M32002,One Kendall Square at Hampshire St / Portland St,Cambridge,42.366277,-71.09169,Existing,21783.0710406,24981.00667020306
88,92,C32014,University of Massachusetts Boston,Boston,42.311819,-71.035705,Existing,9856.316135,7549.1555680711754
89,93,C32013,JFK / UMASS Station,Boston,42.320494,-71.051122,Existing,12509.4884758,14150.643044151366
90,94,D32020,Charlestown - Main St at Austin St,Boston,42.375603,-71.064608,Existing,17014.2723455,15452.341682884842
91,95,M32007,Cambridge St - at Columbia St / Webster Ave,Cambridge,42.372969,-71.094445,Existing,20076.5041336,23608.899195544422
92,96,M32013,Cambridge Main Library at Broadway / Trowbridge St,Cambridge,42.373379,-71.111075,Existing,18658.2722953,18077.007751703262
93,97,M32015,Harvard  University River Houses at DeWolfe St / Cowperthwaite St,Cambridge,42.369182,-71.117152,Removed,19009.0326572,14332.596577022225
94,98,D32021,Charlestown - Warren St at Chelsea St,Boston,42.371848,-71.060292,Existing,17331.5869054,11303.052162125707
95,99,B32008,Mayor Thomas M. Menino - Government Center,Boston,42.35892,-71.057629,Existing,17913.914267,9739.634070311673
96,100,B32017,Dudley Square,Boston,42.328654,-71.084198,Existing,15434.0896645,18394.667433261871
97,101,B32020,BIDMC - Brookline at Burlington St,Boston,42.345733,-71.100694,Existing,21278.2983113,17725.140936881304
98,102,C32002,Boston Medical Center -  East Concord at Harrison Ave,Boston,42.336437,-71.073089,Existing,17086.2346835,20715.487197585404
99,103,C32008,Boylston at Fairfield,Boston,42.348762,-71.082383,Existing,20411.8167007,23208.435626298189
100,104,C32012,Andrew Station - Dorchester Ave at Humboldt Pl,Boston,42.330716,-71.057044,Existing,15542.0782721,15963.027686655521
101,105,C32015,Mt Pleasant Ave / Dudley Town Common,Boston,42.325333,-71.075354,Existing,14688.3194163,18251.873365652747
102,106,C32016,West Broadway at Dorchester St,Boston,42.335693,-71.045859,Existing,15903.311497,10762.691878795624
103,107,C32017,South Boston Library - 646 East Broadway,Boston,42.335741,-71.03877,Existing,15081.4158578,9407.4942182004452
104,108,C32018,E. Cottage St at Columbia Rd,Boston,42.320561,-71.06198,Existing,13133.4840383,16680.717210814357
105,109,C32019,Upham's Corner - Ramsey St at Dudley St,Boston,42.317225,-71.065421,Existing,12550.4184716,16509.758440054953
106,110,D32001,New Balance - Guest St. at Life St.,Boston,42.356975,-71.145442,Existing,15262.8916418,9189.7108979523182
107,111,D32003,TD Garden - Causeway at Portal Park #2,Boston,42.366222,-71.059914,Existing,17928.1582376,10506.446544109844
108,112,D32004,Franklin St. / Arch St.,Boston,42.355402,-71.058087,Existing,17840.4532406,10780.692946960218
109,113,D32016,Charles Circle - Charles St. at Cambridge St.,Boston,42.36069,-71.070884,Existing,19702.3126463,18790.508501926437
110,114,D32022,TD Garden - Causeway at Portal Park #1,Boston,42.365942,-71.060515,Existing,17989.1456315,10615.840739320964
111,115,D32023,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,Boston,42.378338,-71.048927,Existing,15381.8138248,10431.601587507408
112,116,D32024,Charles St at Beacon St,Boston,42.356052,-71.069849,Existing,19246.3386208,19060.675539970398
113,117,D32025,Milk St at India St,Boston,42.358508,-71.052984,Existing,17459.3882463,9204.9239592002705
114,118,D32026,Hayes Square at Vine St.,Boston,42.377022,-71.056605,Existing,16046.7794778,11303.052162125707
115,119,D32027,New Balance Store - Boylston at Dartmouth,Boston,42.350413,-71.07655,Existing,19621.569181,22734.098176095635
116,120,E32001,JP Monument - South St at Centre St,Boston,42.309467,-71.115645,Existing,10416.8068748,9448.2482434362173
117,121,E32002,JP Centre - Centre Street at Myrtle Street,Boston,42.31309,-71.114175,Existing,11301.110816,9521.99131048657
118,122,E32003,Hyde Square at Barbara St,Boston,42.320998,-71.110833,Existing,13508.061355,10044.449506599456
119,123,E32004,Egleston Square at Columbus Ave,Boston,42.315692,-71.098634,Existing,12743.6543541,12354.381488001905
120,124,E32005,Green St T,Boston,42.310579,-71.107341,Existing,11478.1244898,10539.404294895474
121,125,E32006,Jackson Square T at Centre St,Boston,42.322913,-71.100164,Existing,14266.7381741,12796.716380748199
122,126,K32002,Washington Square at Washington St. / Beacon St.,Brookline,42.339335,-71.13493,Existing,14340.9489652,8468.7958530038595
123,127,K32004,JFK Crossing at Harvard St. / Thorndike St.,Brookline,42.346563,-71.128374,Existing,17543.3892114,9440.0724250301719
124,128,M32004,Kendall T at Main St,Cambridge,42.362457,-71.08497,Existing,22450.5154365,23536.526428088546
125,129,M32015,Harvard University River Houses / Plympton St at Memorial Drive,Cambridge,42.369832,-71.118201,Existing,18679.6421942,13633.663560546935
126,130,M32021,Harvard University Gund Hall at Quincy St / Kirkland S,Cambridge,42.376369,-71.114025,Existing,17296.3236876,15089.64964877069
127,131,M32022,Lower Cambridgeport at Magazine St/Riverside Rd,Cambridge,42.356954,-71.113687,Existing,20960.2337334,14478.070577405393
128,132,M32023,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,Cambridge,42.377945,-71.116865,Existing,16284.9060877,13154.889743302017
129,133,M32024,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,Cambridge,42.380287,-71.125107,Existing,15278.3628734,10113.548530446133
130,134,M32025,Mass Ave / Linear Park,Cambridge,42.397828,-71.130516,Existing,11434.0756139,8949.7610792943742
131,135,M32026,359 Broadway - Broadway at Fayette Street,Cambridge,42.370803,-71.104412,Existing,20072.1072375,22248.552880182862
132,136,M32027,Biogen Idec - Binney St / Sixth St,Cambridge,42.366095,-71.086388,Existing,21700.1121,25038.389315247536
133,137,M32029,Porter Square Station,Cambridge,42.387995,-71.119084,Existing,13493.0170329,10090.517648686888
134,138,S32005,Wilson Square,Somerville,42.385582,-71.113341,Existing,14310.5411248,12361.077657594928
135,139,S32006,Davis Square,Somerville,42.396969,-71.123024,Existing,11473.532545,9286.7058060765266
136,140,S32007,Ball Square,Somerville,42.400146,-71.112708,Existing,10594.8541554,8945.9906416456215
137,141,S32008,Powder House Circle,Somerville,42.400877,-71.116772,Existing,10549.8365486,8632.4770674402826
138,142,S32009,Packard Ave / Powderhouse Blvd,Somerville,42.40449,-71.123413,Existing,10148.0732016,7954.0191135234199
139,143,S32010,Somerville Hospital at Highland Ave / Crocker St,Somerville,42.39082,-71.10942,Existing,12714.5775234,12058.318848568946
140,144,S32011,Teele Square at 239 Holland St,Somerville,42.402763,-71.126908,Existing,10461.2425811,8189.3295472350437
141,145,S32012,Summer St at Cutter St,Somerville,42.394002,-71.120406,Existing,12054.301916,9786.8117846250534
